,listing_id,lat,long,property_type,street_address,city,state,zip_code,square_feet,beds,full_baths,half_baths,garage,lot_size_sf,year_built,list_price,sold_price,list_date,sold_date,primary_phot_url,url_photo_1,url_photo_2,url_photo_3,url_photo_4,url_photo_5
0,,42.450207,-83.028709,single_family,7257 Jackson Ave,Warren,Michigan,48091,702,,1,1.0,,5663,1950,,64000,,2021-07-16,,,,,,
1,,42.462993,-82.976911,single_family,14324 Hobart Ave,Warren,Michigan,48089,586,,1,1.0,,4792,1924,,54000,,2021-07-16,,,,,,
2,,42.453399,-83.048163,single_family,21455 Blackmar Ave,Warren,Michigan,48091,696,,1,1.0,,4356,1948,,109900,,2021-07-16,,,,,,
3,,42.464657,-83.033556,single_family,6811 Continental Ave,Warren,Michigan,48091,720,,1,1.0,,3920,1956,,90000,,2021-07-16,,,,,,
4,,42.453392,-82.957519,single_family,21042 Universal Ave,Eastpointe,Michigan,48021,1195,,1,,,4792,1943,,125000,,2021-07-16,,,,,,
5,,42.461433,-82.967095,single_family,22105 Hayes Ave,Eastpointe,Michigan,48021,617,,1,,,5663,1940,,59000,,2021-07-16,,,,,,
6,,42.468856,-82.908237,single_family,23507 Grove St,Saint Clair Shores,Michigan,48080,1400,3.0,1,1.0,,3920,1969,,250000,,2021-07-16,,,,,,
7,,42.475032,-82.95675,single_family,24520 Phlox Ave,Eastpointe,Michigan,48021,1208,,1,,,3920,1948,,112000,,2021-07-16,,,,,,
8,,42.464658,-83.017389,single_family,8654 Continental Ave,Warren,Michigan,48089,1008,,1,,,4792,1975,,80000,,2021-07-16,,,,,,
9,,42.455204,-83.023802,single_family,8121 Orchard Ave,Warren,Michigan,48089,960,,1,,,3485,1925,,116000,,2021-07-16,,,,,,
10,,42.461021,-82.959049,single_family,15642 Couzens Ave,Eastpointe,Michigan,48021,1183,,1,,,5663,1941,,116500,,2021-07-15,,,,,,
11,,42.467854,-82.91106,single_family,23127 Harmon St,Saint Clair Shores,Michigan,48080,937,3.0,1,,,5227,1966,,170500,,2021-07-15,,,,,,
12,,42.463459,-82.910691,single_family,22617 Grove St,Saint Clair Shores,Michigan,48080,884,2.0,1,,,9148,1927,,490000,,2021-07-15,,,,,,
13,,42.459321,-83.021388,single_family,8304 Hupp Ave,Warren,Michigan,48089,903,,1,,,4356,1946,,60000,,2021-07-15,,,,,,
14,,42.465804,-82.964971,single_family,22780 Linwood Ave,Eastpointe,Michigan,48021,1438,,1,1.0,,14375,1948,,100000,,2021-07-15,,,,,,
15,,42.415432,-82.942177,single_family,9172 Yorkshire Rd,Detroit,Michigan,48224,2011,,1,1.0,,5227,1929,,50000,,2021-07-15,,,,,,
16,,42.438522,-82.928237,single_family,20218 Woodmont St,Harper Woods,Michigan,48225,1188,,1,,,6316,1952,,128900,,2021-07-15,,,,,,
17,,42.435297,-82.946326,single_family,18932 Kenosha St,Harper Woods,Michigan,48225,1207,,2,,,5140,1940,,55000,,2021-07-14,,,,,,
18,,42.433767,-82.938979,single_family,19365 Beaconsfield St,Harper Woods,Michigan,48225,900,3.0,1,,,4356,1943,,95000,,2021-07-14,,,,,,
19,,42.44122,-83.004559,single_family,19776 Hoover St,Detroit,Michigan,48205,706,,1,,,5227,1949,,78000,,2021-07-13,,,,,,
